State,District,Date,Year,Month,Avg_rainfall,Agency_name,source_file
Tamil Nadu,Chengalpattu,2021-02-19,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-20,2021,2,0.014851503,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-26,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-01,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-05,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-06,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-17,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-19,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-23,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-24,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-25,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-26,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-03-29,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-01,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-03,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-07,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-12,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-15,2021,4,11.61966225,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-16,2021,4,0.272729361,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-17,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-22,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-27,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-04-30,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-05-02,2021,5,0.0,IMD GRID MODEL,2021.csv
